Store,Location_Store,Customer_Geo,Customer_Age,Cust_City,Cust_Dist,Cust_State,Customer_Income,Customer_Gender,Customer_Marital_Status,Transaction_Date,Volume,Price,Product_Model,Product_Category,Product_Brand,Product_company,Cust_Ethnic,Occupation,Loan_Amount,Default_Risk,Outstanding,First_replayment_date,Last_repayment_date
DriveEasy,Hyderabad,Karnataka India,38,Delhi,Mumbai Suburban,Telangana,2098308,Female,Married,26 May 2023,1,2314468,SX,Premium Hatchback,Swift,Hyundai,Asian,Professional,2050156,0,383677,10 August 2023,01 August 2026
SCP,Delhi,Delhi India,49,Kolkata,Pune,Tamil Nadu,1631966,Female,Married,10 May 2023,1,2000359,Asta,Luxury Sedan,Swift,Hyundai,Caucasian,Professional,1593278,0,394545,24 July 2023,04 April 2026
SpeedWheels,Pune,Telangana India,39,Delhi,Kolkata,Tamil Nadu,2454797,Female,Married,22 January 2023,1,1335786,ZX,Compact SUV,Brezza,Maruti,Native American,Government Employee,1151020,1,560050,15 April 2023,02 December 2024
SCP,Mumbai,West Bengal India,29,Hyderabad,New Delhi,Tamil Nadu,927329,Male,Unmarried,26 October 2023,3,1195939,Era,SUV,City,Maruti,Asian,Professional,860679,0,171749,28 November 2023,12 October 2026
TCS Auto,Kolkata,Tamil Nadu India,29,Nashik,New Delhi,Karnataka,1785183,Male,Divorced,16 March 2024,3,1001803,ZX,Sedan,City,Hyundai,Caucasian,Business Owner,725795,0,90873,29 May 2024,08 November 2025
CarWorld,Hyderabad,Delhi India,40,Kolkata,Hyderabad,Delhi,708425,Female,Unmarried,10 August 2024,3,2408825,Era,Luxury Sedan,Baleno,Maruti,Asian,Retired,1874983,0,424959,12 October 2024,21 June 2026
DriveEasy,Kolkata,Maharashtra India,30,Nagpur,Pune,Karnataka,2447563,Male,Married,03 May 2024,1,812488,Era,Sedan,Nexon,Tata,Caucasian,Government Employee,496086,0,21032,17 July 2024,10 September 2025
DriveEasy,Pune,Maharashtra India,62,Chennai,Pune,Tamil Nadu,1107424,Male,Married,29 September 2023,3,841448,Asta,Compact SUV,Verna,Maruti,Caucasian,Business Owner,746489,0,91154,17 December 2023,10 May 2026
DriveEasy,Kolkata,Telangana India,48,Pune,Kolkata,Tamil Nadu,1302358,Male,Married,25 April 2024,3,610827,Era,Entry Hatchback,Creta,Maruti,Asian,Retired,531367,0,39926,03 June 2024,18 May 2026
AutoZone,Chennai,Delhi India,43,Mumbai,Bangalore Urban,Maharashtra,1676012,Male,Married,07 February 2023,1,911796,SX,Premium Hatchback,Brezza,Hyundai,Asian,Professional,642677,0,13348,01 April 2023,11 March 2025
TCS Auto,Mumbai,Delhi India,38,Pune,Chennai,West Bengal,1573875,Female,Married,09 November 2023,1,1649843,Asta,Compact SUV,I10 GRAND,Maruti,African,Business Owner,1165313,0,26699,06 February 2024,01 September 2025
SpeedWheels,Chennai,West Bengal India,29,Nagpur,Kolkata,Delhi,1799725,Male,Married,18 December 2023,1,1942827,SX,Premium Hatchback,Baleno,Hyundai,African,Business Owner,1602304,1,1040695,19 January 2024,07 December 2026
AutoZone,Bangalore,Delhi India,39,Mumbai,Kolkata,Tamil Nadu,2292273,Female,Unmarried,18 June 2024,3,1537618,ZX,Compact SUV,Creta,Honda,Asian,Salaried,1095445,0,260478,26 July 2024,31 August 2026
AutoZone,Kolkata,Maharashtra India,46,Nashik,Pune,Delhi,2217696,Female,Married,09 May 2024,2,2167429,VX,Sedan,Verna,Maruti,Asian,Government Employee,1631632,0,295112,17 June 2024,28 July 2026
CarWorld,Chennai,Maharashtra India,53,Delhi,Chennai,Tamil Nadu,1181097,Male,Unmarried,31 July 2023,1,1447506,Magna,Premium Hatchback,Creta,Hyundai,Caucasian,Salaried,1157178,0,96711,20 October 2023,17 May 2026
AutoHub,Bangalore,Karnataka India,63,Delhi,New Delhi,Maharashtra,990573,Male,Married,15 September 2024,3,2091365,Sportz,Luxury Sedan,Creta,Honda,Asian,Professional,1544788,1,381402,25 November 2024,30 January 2026
TCS Auto,Mumbai,Maharashtra India,61,Delhi,Kolkata,Delhi,2436740,Male,Married,16 October 2024,3,500335,VX,SUV,Brezza,Hyundai,Hispanic,Salaried,346353,0,78802,25 November 2024,29 May 2027
DriveEasy,Pune,Maharashtra India,25,Bangalore,Hyderabad,Telangana,1641158,Male,Married,23 June 2024,2,1462479,Sportz,Sedan,Nexon,Honda,African,Business Owner,1096515,0,236523,04 September 2024,19 July 2026
SCP,Mumbai,Karnataka India,26,Chennai,Hyderabad,Delhi,437858,Male,Divorced,01 August 2024,1,657375,ZX,Compact SUV,City,Tata,Caucasian,Self Employed,484644,0,27480,13 October 2024,08 August 2027
CarWorld,Delhi,Delhi India,24,Delhi,New Delhi,Delhi,443263,Male,Married,19 November 2023,3,930963,Era,SUV,Brezza,Maruti,Asian,Salaried,811240,1,548613,13 January 2024,05 February 2026
AutoHub,Mumbai,Maharashtra India,45,Chennai,Pune,Maharashtra,1273812,Female,Married,13 January 2023,1,1446287,LX,SUV,Swift,Maruti,Native American,Government Employee,1198096,0,211036,31 March 2023,09 March 2026
SpeedWheels,Mumbai,Karnataka India,33,Delhi,Bangalore Urban,Karnataka,1150064,Male,Unmarried,12 February 2024,1,1392359,VX,SUV,Creta,Maruti,Caucasian,Professional,1195469,0,65028,03 May 2024,04 November 2025
SCP,Hyderabad,Delhi India,48,Nagpur,Pune,Telangana,1698702,Female,Married,23 October 2024,2,2335107,Asta,Entry Hatchback,Verna,Hyundai,Native American,Self Employed,2066504,0,384734,03 December 2024,15 July 2027
CarWorld,Delhi,West Bengal India,27,Bangalore,Mumbai Suburban,Tamil Nadu,2138238,Female,Divorced,09 June 2024,2,1700523,ZX,Premium Hatchback,Swift,Maruti,Asian,Business Owner,1491911,1,501991,27 August 2024,03 November 2026
AutoHub,Kolkata,Tamil Nadu India,24,Mumbai,Chennai,West Bengal,881218,Female,Unmarried,20 March 2024,2,1220231,Era,Entry Hatchback,Nexon,Hyundai,Native American,Professional,1048738,0,152819,24 May 2024,18 November 2025
AutoHub,Kolkata,Karnataka India,25,Kolkata,Bangalore Urban,Delhi,525288,Male,Divorced,02 December 2024,3,883777,Era,Sedan,Baleno,Hyundai,Native American,Business Owner,534914,1,258385,26 February 2025,27 January 2027
AutoHub,Delhi,Karnataka India,32,Bangalore,Hyderabad,Tamil Nadu,825001,Male,Married,05 July 2024,2,1180064,SX,Compact SUV,I10 GRAND,Hyundai,Caucasian,Business Owner,742266,0,161965,19 August 2024,06 April 2026
AutoZone,Hyderabad,Delhi India,37,Mumbai,Bangalore Urban,Maharashtra,1284985,Female,Married,15 October 2024,2,1738732,Asta,Compact SUV,City,Honda,Asian,Business Owner,1362867,1,628191,16 December 2024,17 December 2026
SpeedWheels,Kolkata,Telangana India,60,Nagpur,Bangalore Urban,Maharashtra,421182,Female,Married,13 November 2024,3,619161,Asta,Entry Hatchback,Baleno,Maruti,Asian,Business Owner,466983,1,274678,11 February 2025,13 August 2027
AutoHub,Mumbai,Tamil Nadu India,58,Bangalore,Bangalore Urban,Telangana,2437871,Female,Unmarried,02 September 2024,1,1504236,Asta,SUV,Creta,Tata,Caucasian,Salaried,1011716,0,196235,12 November 2024,02 July 2027
DriveEasy,Kolkata,Maharashtra India,47,Nagpur,Bangalore Urban,Tamil Nadu,995243,Male,Married,12 May 2024,2,1044804,Sportz,SUV,City,Hyundai,Asian,Salaried,711295,0,98037,22 June 2024,09 February 2027
CarWorld,Hyderabad,Telangana India,44,Chennai,Mumbai Suburban,Maharashtra,587336,Female,Married,17 June 2024,1,1548571,Asta,Premium Hatchback,Creta,Hyundai,Asian,Government Employee,1280281,1,571467,04 September 2024,02 August 2027
CarWorld,Delhi,Delhi India,57,Pune,Hyderabad,Delhi,414120,Male,Married,15 November 2024,1,1922128,VX,SUV,Creta,Hyundai,Asian,Retired,1565357,1,1075552,15 January 2025,22 February 2026
SpeedWheels,Kolkata,Delhi India,32,Pune,Bangalore Urban,Tamil Nadu,666774,Male,Unmarried,05 March 2024,3,2236437,SX,SUV,City,Honda,Hispanic,Government Employee,1445231,0,208157,06 May 2024,11 November 2025
DriveEasy,Hyderabad,Delhi India,39,Delhi,New Delhi,Karnataka,1523222,Female,Married,19 January 2024,2,1660342,Era,Luxury Sedan,Baleno,Hyundai,Asian,Retired,1153092,0,94652,31 March 2024,21 June 2026
AutoZone,Hyderabad,Telangana India,36,Nagpur,New Delhi,Telangana,1676413,Male,Married,06 June 2024,2,2333047,Asta,Sedan,I10 GRAND,Hyundai,African,Government Employee,2093665,0,305083,06 July 2024,21 April 2027
DriveEasy,Mumbai,Delhi India,58,Delhi,Chennai,Karnataka,2248517,Female,Married,02 February 2023,3,1501570,SX,Luxury Sedan,I10 GRAND,Maruti,Hispanic,Self Employed,1155200,0,38226,03 April 2023,17 March 2025
AutoZone,Mumbai,Tamil Nadu India,43,Chennai,Pune,Tamil Nadu,825050,Male,Married,22 October 2024,3,1482530,Era,Premium Hatchback,Swift,Tata,Hispanic,Government Employee,1143112,0,55174,30 November 2024,14 March 2027
SpeedWheels,Delhi,Telangana India,54,Bangalore,Chennai,Maharashtra,392910,Male,Married,05 July 2023,1,1144627,Asta,Compact SUV,Baleno,Hyundai,Caucasian,Retired,1005195,1,214094,21 August 2023,10 December 2024
CarWorld,Bangalore,West Bengal India,54,Nashik,Kolkata,Karnataka,1853022,Male,Married,26 March 2023,2,1344284,Magna,Entry Hatchback,Creta,Hyundai,Asian,Salaried,1142999,0,150720,17 May 2023,03 June 2024
AutoHub,Delhi,Tamil Nadu India,31,Nagpur,New Delhi,Telangana,1141845,Male,Unmarried,13 May 2024,2,1601054,Magna,SUV,Nexon,Maruti,Caucasian,Professional,1284731,0,245613,25 July 2024,16 December 2026
SCP,Pune,West Bengal India,34,Bangalore,Mumbai Suburban,Telangana,1268072,Male,Married,04 November 2024,3,1829253,Magna,Compact SUV,Verna,Tata,Caucasian,Government Employee,1210566,0,162412,05 January 2025,23 January 2026
AutoZone,Bangalore,West Bengal India,45,Bangalore,Hyderabad,Karnataka,331560,Female,Married,26 September 2023,2,1628974,ZX,Premium Hatchback,Verna,Hyundai,Asian,Salaried,1435799,0,283132,05 December 2023,04 September 2026
AutoZone,Kolkata,Tamil Nadu India,24,Hyderabad,Pune,Tamil Nadu,2097887,Female,Unmarried,24 June 2023,2,2126668,SX,Entry Hatchback,I10 GRAND,Maruti,Hispanic,Business Owner,1707317,1,879869,21 August 2023,01 August 2026
DriveEasy,Pune,Delhi India,57,Kolkata,Mumbai Suburban,Maharashtra,474071,Male,Married,09 December 2023,3,602468,Sportz,Entry Hatchback,Creta,Honda,African,Self Employed,368287,1,76363,22 January 2024,20 March 2025
CarWorld,Delhi,Tamil Nadu India,62,Chennai,Mumbai Suburban,West Bengal,475346,Male,Married,12 December 2023,3,1961051,Sportz,Luxury Sedan,I10 GRAND,Maruti,Asian,Salaried,1423283,1,759296,15 January 2024,01 March 2026
AutoZone,Delhi,Telangana India,38,Pune,Pune,Tamil Nadu,2407433,Male,Married,21 July 2024,1,1150811,ZX,Compact SUV,Nexon,Maruti,Caucasian,Self Employed,801412,0,68708,16 September 2024,19 November 2025
TCS Auto,Mumbai,Delhi India,31,Hyderabad,New Delhi,Tamil Nadu,2481103,Female,Married,05 February 2024,2,1653116,ZX,SUV,Verna,Maruti,Hispanic,Salaried,1351256,0,226656,22 April 2024,06 October 2025
CarWorld,Pune,Maharashtra India,52,Nashik,Hyderabad,Telangana,2013072,Male,Unmarried,17 March 2023,3,2327447,VX,Compact SUV,Baleno,Maruti,Asian,Professional,1912291,1,525558,09 June 2023,13 September 2024
AutoHub,Kolkata,Karnataka India,30,Pune,Hyderabad,Karnataka,1622841,Female,Unmarried,12 April 2024,3,1993018,LX,Entry Hatchback,I10 GRAND,Maruti,Caucasian,Retired,1521035,0,251370,07 July 2024,19 November 2025
SpeedWheels,Delhi,Maharashtra India,37,Hyderabad,Bangalore Urban,Telangana,1584985,Male,Married,01 February 2024,2,2333876,Magna,Premium Hatchback,Verna,Honda,Asian,Business Owner,2070023,0,471620,01 April 2024,10 March 2026
TCS Auto,Delhi,Telangana India,34,Delhi,Kolkata,Delhi,2072747,Male,Unmarried,09 August 2024,3,2250159,Era,Premium Hatchback,Nexon,Maruti,Hispanic,Business Owner,1684741,1,1156810,03 October 2024,27 July 2027
AutoHub,Kolkata,Delhi India,37,Delhi,Hyderabad,Karnataka,1871753,Male,Unmarried,11 December 2023,3,713821,Sportz,Sedan,Nexon,Maruti,Caucasian,Salaried,501026,1,270893,30 January 2024,11 August 2025
DriveEasy,Delhi,Telangana India,26,Nashik,Chennai,Karnataka,2160886,Male,Unmarried,17 January 2023,1,1345057,Magna,Entry Hatchback,Verna,Tata,Caucasian,Salaried,1103633,1,714604,19 February 2023,06 November 2024
SCP,Hyderabad,Delhi India,24,Bangalore,New Delhi,Delhi,1006682,Female,Married,13 July 2023,2,1125808,VX,Entry Hatchback,Baleno,Maruti,Asian,Retired,776221,1,531395,21 September 2023,25 May 2025
TCS Auto,Pune,West Bengal India,21,Kolkata,Mumbai Suburban,Maharashtra,413632,Female,Married,23 August 2024,1,2390158,Magna,SUV,Verna,Honda,Asian,Salaried,1622586,1,376698,19 October 2024,01 May 2026
DriveEasy,Delhi,Karnataka India,63,Kolkata,New Delhi,Karnataka,2059581,Male,Married,01 April 2023,2,578536,Era,Compact SUV,Creta,Hyundai,Asian,Salaried,428557,0,56304,25 June 2023,03 March 2025
AutoHub,Chennai,Tamil Nadu India,56,Nashik,New Delhi,Delhi,890769,Male,Married,05 October 2024,1,1987111,Magna,Premium Hatchback,Baleno,Maruti,Asian,Government Employee,1589221,1,1044116,30 November 2024,25 February 2027
TCS Auto,Kolkata,Tamil Nadu India,63,Nashik,Hyderabad,West Bengal,1014151,Male,Married,08 January 2024,2,2419751,Magna,Luxury Sedan,City,Hyundai,Caucasian,Professional,1486491,0,313966,22 March 2024,14 April 2025
TCS Auto,Chennai,Tamil Nadu India,49,Nagpur,Chennai,Maharashtra,1083178,Male,Married,14 January 2023,3,1431501,ZX,Entry Hatchback,Baleno,Maruti,Hispanic,Business Owner,1100366,0,42924,18 February 2023,26 March 2024
CarWorld,Delhi,West Bengal India,57,Nashik,Kolkata,West Bengal,391126,Female,Divorced,27 December 2023,3,630890,LX,Premium Hatchback,Nexon,Hyundai,Asian,Retired,389327,1,161129,15 February 2024,26 April 2025
DriveEasy,Bangalore,Karnataka India,51,Pune,New Delhi,West Bengal,331849,Female,Married,23 August 2023,1,1305218,Era,Compact SUV,City,Maruti,African,Salaried,1165357,1,432321,20 October 2023,22 March 2026
SpeedWheels,Hyderabad,West Bengal India,64,Nagpur,Mumbai Suburban,Delhi,1018967,Male,Married,20 February 2024,1,766601,Era,Premium Hatchback,Creta,Hyundai,Native American,Government Employee,500966,0,96332,19 April 2024,27 November 2025
TCS Auto,Pune,Telangana India,29,Bangalore,Kolkata,Karnataka,2029721,Female,Married,28 June 2024,1,1062813,Asta,Compact SUV,Verna,Hyundai,African,Professional,925262,0,66761,28 July 2024,28 November 2026
SCP,Hyderabad,Maharashtra India,62,Delhi,Bangalore Urban,Maharashtra,1911437,Female,Married,28 May 2024,3,709872,SX,Luxury Sedan,Creta,Hyundai,Asian,Salaried,491400,0,25487,04 July 2024,06 June 2026
SCP,Hyderabad,Maharashtra India,46,Kolkata,Kolkata,Telangana,1855931,Male,Divorced,03 March 2023,1,525540,Asta,Premium Hatchback,Creta,Maruti,Hispanic,Salaried,337003,1,124620,04 April 2023,20 October 2025
CarWorld,Mumbai,Maharashtra India,36,Bangalore,Chennai,Karnataka,1478355,Female,Married,16 October 2024,2,944222,Asta,SUV,Brezza,Hyundai,Asian,Self Employed,734271,0,147874,30 December 2024,20 May 2026
TCS Auto,Hyderabad,Karnataka India,60,Chennai,Hyderabad,Maharashtra,1925978,Male,Unmarried,22 October 2023,1,1184712,ZX,Compact SUV,Swift,Hyundai,Caucasian,Self Employed,1007152,0,49177,13 December 2023,20 November 2026
AutoZone,Bangalore,Telangana India,51,Mumbai,Pune,Karnataka,1519170,Male,Unmarried,21 May 2024,2,512453,LX,Premium Hatchback,Brezza,Maruti,Asian,Professional,341034,1,119385,13 July 2024,28 December 2025
CarWorld,Chennai,Telangana India,47,Delhi,Hyderabad,West Bengal,2246863,Male,Married,07 October 2024,1,1686894,VX,Entry Hatchback,I10 GRAND,Hyundai,Asian,Retired,1440776,0,128119,26 November 2024,19 April 2027
CarWorld,Pune,Telangana India,61,Mumbai,Pune,Karnataka,1030378,Male,Married,27 August 2023,3,2272284,SX,SUV,I10 GRAND,Maruti,Asian,Self Employed,1839506,1,1149755,14 November 2023,18 March 2026
CarWorld,Mumbai,Maharashtra India,42,Delhi,Kolkata,Maharashtra,753940,Male,Married,11 July 2024,1,602428,Magna,Sedan,Swift,Hyundai,Asian,Business Owner,518807,0,59826,25 August 2024,11 April 2027
SpeedWheels,Chennai,Maharashtra India,30,Bangalore,New Delhi,Telangana,2435202,Female,Married,10 May 2024,3,1920267,Era,Sedan,Brezza,Hyundai,Asian,Salaried,1497735,1,708325,23 July 2024,09 June 2027
TCS Auto,Delhi,Maharashtra India,43,Nashik,New Delhi,Tamil Nadu,1341029,Female,Married,01 July 2023,3,1940772,Asta,Entry Hatchback,City,Maruti,Caucasian,Government Employee,1289328,0,205906,04 September 2023,01 June 2026
TCS Auto,Delhi,Maharashtra India,25,Nagpur,New Delhi,Karnataka,1243474,Male,Divorced,07 June 2023,2,2486057,SX,Compact SUV,I10 GRAND,Hyundai,Hispanic,Self Employed,2018133,0,222265,20 August 2023,19 April 2025
AutoHub,Mumbai,Karnataka India,57,Nashik,Kolkata,Delhi,1826064,Male,Divorced,03 July 2024,2,2135949,LX,Entry Hatchback,Brezza,Tata,Asian,Salaried,1457484,1,861609,14 September 2024,09 January 2026
CarWorld,Pune,Maharashtra India,30,Mumbai,Chennai,Delhi,1388581,Male,Unmarried,31 March 2024,3,1049687,SX,Sedan,City,Maruti,Caucasian,Professional,658925,0,92379,27 June 2024,02 September 2026
CarWorld,Mumbai,Telangana India,33,Nashik,New Delhi,Karnataka,2189724,Male,Unmarried,23 January 2024,3,2034576,VX,SUV,Verna,Maruti,Native American,Salaried,1523771,0,252953,28 March 2024,17 July 2025
CarWorld,Mumbai,West Bengal India,53,Pune,Kolkata,Maharashtra,500344,Male,Married,17 April 2024,1,1153646,LX,Compact SUV,Nexon,Maruti,Caucasian,Self Employed,750620,1,403436,16 June 2024,01 October 2026
CarWorld,Bangalore,Telangana India,57,Nashik,New Delhi,Karnataka,1652785,Male,Married,15 February 2023,1,1824245,Sportz,Luxury Sedan,I10 GRAND,Tata,African,Professional,1465354,0,205526,02 May 2023,05 July 2024
SCP,Delhi,West Bengal India,26,Chennai,Pune,West Bengal,1286462,Male,Divorced,11 January 2023,2,2467896,Sportz,Compact SUV,Nexon,Hyundai,Asian,Business Owner,1659468,1,617114,31 March 2023,03 February 2026
AutoZone,Delhi,Telangana India,64,Nashik,Hyderabad,West Bengal,1991996,Female,Married,18 May 2023,1,2238460,Magna,Compact SUV,Swift,Hyundai,Asian,Professional,1721065,0,251460,08 August 2023,01 August 2025
AutoZone,Chennai,Delhi India,55,Nashik,Pune,Delhi,1025947,Male,Married,12 April 2024,2,1749149,Era,Compact SUV,Brezza,Maruti,Asian,Business Owner,1157980,0,266311,18 June 2024,25 April 2027
TCS Auto,Bangalore,Telangana India,54,Delhi,Hyderabad,Telangana,361253,Male,Married,17 July 2023,1,2298187,SX,Sedan,Nexon,Maruti,Hispanic,Self Employed,2011890,1,648999,29 September 2023,11 December 2024
